iter	Passed	Remaining
0	0	45
1	0	44
2	1	45
3	1	39
4	2	40
5	2	39
6	2	38
7	3	37
8	3	36
9	3	35
10	4	35
11	4	34
12	5	34
13	5	33
14	5	33
15	6	32
16	6	32
17	6	31
18	7	31
19	7	30
20	7	29
21	8	29
22	8	29
23	9	28
24	9	28
25	9	28
26	10	27
27	10	27
28	10	26
29	11	26
30	11	26
31	12	26
32	12	25
33	13	25
34	13	24
35	13	24
36	14	24
37	14	23
38	15	23
39	15	23
40	15	22
41	15	21
42	16	21
43	16	21
44	17	21
45	17	20
46	18	20
47	18	19
48	18	19
49	19	19
50	19	18
51	20	18
52	20	18
53	20	17
54	21	17
55	21	16
56	21	16
57	22	16
58	22	15
59	22	15
60	23	14
61	23	14
62	24	14
63	24	13
64	24	13
65	25	12
66	25	12
67	25	12
68	26	11
69	26	11
70	26	11
71	27	10
72	27	10
73	28	9
74	28	9
75	29	9
76	29	8
77	29	8
78	30	8
79	30	7
80	31	7
81	31	6
82	31	6
83	32	6
84	32	5
85	33	5
86	33	5
87	33	4
88	34	4
89	34	3
90	35	3
91	35	3
92	36	2
93	36	2
94	36	1
95	37	1
96	37	1
97	38	0
98	38	0
99	39	0
