iter	Passed	Remaining
0	60	60512
1	61	30570
2	61	20529
3	62	15514
4	62	12506
5	63	10493
6	63	9057
7	64	7996
8	65	7164
9	65	6495
10	66	5947
11	66	5483
12	67	5089
13	67	4767
14	68	4481
15	68	4226
16	69	4006
17	69	3813
18	70	3637
19	70	3477
20	71	3331
21	71	3198
22	72	3082
23	73	2972
24	73	2870
25	74	2778
26	74	2689
27	75	2606
28	75	2530
29	76	2460
30	76	2395
31	77	2331
32	77	2273
33	78	2219
34	78	2167
35	79	2118
36	79	2072
37	80	2027
38	80	1987
39	81	1949
40	81	1911
41	82	1874
42	82	1841
43	83	1807
44	83	1776
45	84	1746
46	85	1727
47	85	1701
48	86	1675
49	86	1650
50	87	1625
51	87	1601
52	88	1577
53	88	1555
54	89	1533
55	89	1514
56	90	1494
57	90	1475
58	91	1457
59	91	1440
60	92	1424
61	93	1408
62	93	1392
63	94	1376
64	94	1360
65	95	1346
66	95	1331
67	96	1317
68	96	1305
69	97	1294
70	98	1283
71	98	1270
72	99	1258
73	99	1247
74	100	1235
75	100	1224
76	101	1214
77	101	1203
78	102	1192
79	102	1182
80	103	1172
81	103	1163
82	104	1150
83	104	1140
84	105	1130
85	105	1121
86	106	1112
87	106	1103
88	106	1095
89	107	1086
90	107	1077
91	108	1070
92	108	1062
93	109	1054
94	109	1047
95	110	1039
96	110	1033
97	111	1026
98	112	1020
99	112	1013
100	113	1007
101	113	1002
102	114	995
103	114	989
104	115	983
105	115	978
106	116	972
107	117	967
108	117	962
109	118	957
110	118	952
111	119	947
112	120	942
113	120	937
114	121	932
115	121	928
116	122	922
117	122	918
118	123	914
119	124	909
120	124	905
121	125	900
122	125	897
123	126	894
124	127	889
125	127	886
126	128	881
127	128	876
128	129	873
129	130	870
130	130	866
131	131	863
132	131	859
133	132	856
134	133	852
135	133	849
136	134	846
137	134	842
138	135	839
139	136	835
140	136	833
141	137	828
142	137	824
143	138	821
144	138	818
145	139	815
146	140	812
147	140	810
148	141	807
149	142	804
150	142	801
151	143	798
152	143	796
153	144	793
154	145	790
155	145	787
156	146	784
157	146	780
158	147	778
159	147	775
160	147	770
161	148	767
162	148	764
163	149	761
164	149	758
165	150	756
166	151	753
167	151	751
168	152	748
169	152	746
170	153	743
171	153	741
172	154	738
173	155	736
174	155	733
175	156	730
176	156	728
177	157	725
178	157	723
179	158	720
180	158	718
181	159	715
182	159	713
183	160	710
184	160	707
185	161	705
186	161	702
187	162	700
188	162	698
189	163	696
190	163	694
191	164	691
192	164	689
193	165	687
194	166	685
195	166	684
196	167	681
197	167	679
198	168	678
199	168	675
200	169	673
201	169	671
202	170	669
203	170	666
204	171	665
205	172	663
206	172	661
207	173	659
208	173	657
209	174	655
210	174	654
211	175	652
212	175	650
213	176	648
214	177	646
215	177	645
216	178	643
217	178	641
218	179	639
219	179	637
220	180	635
221	180	633
222	181	631
223	181	630
224	182	628
225	182	626
226	183	624
227	184	623
228	184	621
229	185	619
230	185	618
231	186	616
232	186	614
233	187	613
234	187	611
235	188	609
236	188	608
237	189	606
238	189	604
239	190	603
